Distritos;Percentil;Total
0201201 Balazote distrito 01 *;Percentil 10 de consumo eléctrico en kwh;595
0201201 Balazote distrito 01 *;Percentil 25 de consumo eléctrico en kwh;1.251
0201201 Balazote distrito 01 *;Percentil 50 de consumo eléctrico en kwh;2.380
0201201 Balazote distrito 01 *;Percentil 75 de consumo eléctrico en kwh;3.699
0201201 Balazote distrito 01 *;Percentil 90 de consumo eléctrico en kwh;5.396
0201501 Barrax distrito 01;Percentil 10 de consumo eléctrico en kwh;595
0201501 Barrax distrito 01;Percentil 25 de consumo eléctrico en kwh;1.216
0201501 Barrax distrito 01;Percentil 50 de consumo eléctrico en kwh;2.443
0201501 Barrax distrito 01;Percentil 75 de consumo eléctrico en kwh;4.169
0201501 Barrax distrito 01;Percentil 90 de consumo eléctrico en kwh;6.093
0201801 Bonete distrito 01;Percentil 10 de consumo eléctrico en kwh;569
0201801 Bonete distrito 01;Percentil 25 de consumo eléctrico en kwh;1.139
0201801 Bonete distrito 01;Percentil 50 de consumo eléctrico en kwh;2.160
0201801 Bonete distrito 01;Percentil 75 de consumo eléctrico en kwh;3.455
0201801 Bonete distrito 01;Percentil 90 de consumo eléctrico en kwh;5.323
0201901 Bonillo(El) distrito 01;Percentil 10 de consumo eléctrico en kwh;456
0201901 Bonillo(El) distrito 01;Percentil 25 de consumo eléctrico en kwh;908
0201901 Bonillo(El) distrito 01;Percentil 50 de consumo eléctrico en kwh;1.972
0201901 Bonillo(El) distrito 01;Percentil 75 de consumo eléctrico en kwh;3.206
0201901 Bonillo(El) distrito 01;Percentil 90 de consumo eléctrico en kwh;4.984
0202101 CasasdeJuanNúñez distrito 01;Percentil 10 de consumo eléctrico en kwh;576
0202101 CasasdeJuanNúñez distrito 01;Percentil 25 de consumo eléctrico en kwh;1.072
0202101 CasasdeJuanNúñez distrito 01;Percentil 50 de consumo eléctrico en kwh;2.294
0202101 CasasdeJuanNúñez distrito 01;Percentil 75 de consumo eléctrico en kwh;3.690
0202101 CasasdeJuanNúñez distrito 01;Percentil 90 de consumo eléctrico en kwh;5.792
0202401 Casas-Ibáñez distrito 01 *;Percentil 10 de consumo eléctrico en kwh;654
0202401 Casas-Ibáñez distrito 01 *;Percentil 25 de consumo eléctrico en kwh;1.274
0202401 Casas-Ibáñez distrito 01 *;Percentil 50 de consumo eléctrico en kwh;2.425
0202401 Casas-Ibáñez distrito 01 *;Percentil 75 de consumo eléctrico en kwh;3.787
0202401 Casas-Ibáñez distrito 01 *;Percentil 90 de consumo eléctrico en kwh;6.164
0202402 Casas-Ibáñez distrito 02 *;Percentil 10 de consumo eléctrico en kwh;560
0202402 Casas-Ibáñez distrito 02 *;Percentil 25 de consumo eléctrico en kwh;1.228
0202402 Casas-Ibáñez distrito 02 *;Percentil 50 de consumo eléctrico en kwh;2.333
0202402 Casas-Ibáñez distrito 02 *;Percentil 75 de consumo eléctrico en kwh;3.706
0202402 Casas-Ibáñez distrito 02 *;Percentil 90 de consumo eléctrico en kwh;6.611
