Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Municipios;Consumo eléctrico;Total
Total Nacional;01 Andalucía;18 Granada;18066 Deifontes;Viviendas totales;1.278
Total Nacional;01 Andalucía;18 Granada;18068 Dílar;Viviendas totales;1.166
Total Nacional;01 Andalucía;18 Granada;18071 Dúrcal;Viviendas totales;4.403
Total Nacional;01 Andalucía;18 Granada;18079 Fuente Vaqueros;Viviendas totales;2.394
Total Nacional;01 Andalucía;18 Granada;18082 Galera;Viviendas totales;2.371
Total Nacional;01 Andalucía;18 Granada;18084 Gójar;Viviendas totales;3.017
Total Nacional;01 Andalucía;18 Granada;18087 Granada;Viviendas totales;141.257
Total Nacional;01 Andalucía;18 Granada;18088 Guadahortuna;Viviendas totales;1.186
Total Nacional;01 Andalucía;18 Granada;18089 Guadix;Viviendas totales;11.023
Total Nacional;01 Andalucía;18 Granada;18093 Gualchos;Viviendas totales;4.070
Total Nacional;01 Andalucía;18 Granada;18094 Güéjar Sierra;Viviendas totales;2.185
Total Nacional;01 Andalucía;18 Granada;18095 Güevéjar;Viviendas totales;1.205
Total Nacional;01 Andalucía;18 Granada;18097 Huéneja;Viviendas totales;1.032
Total Nacional;01 Andalucía;18 Granada;18098 Huéscar;Viviendas totales;5.799
Total Nacional;01 Andalucía;18 Granada;18099 Huétor de Santillán;Viviendas totales;1.258
Total Nacional;01 Andalucía;18 Granada;18100 Huétor Tájar;Viviendas totales;5.261
Total Nacional;01 Andalucía;18 Granada;18101 Huétor Vega;Viviendas totales;5.304
Total Nacional;01 Andalucía;18 Granada;18102 Íllora;Viviendas totales;6.424
Total Nacional;01 Andalucía;18 Granada;18105 Iznalloz;Viviendas totales;2.830
Total Nacional;01 Andalucía;18 Granada;18107 Jayena;Viviendas totales;712
Total Nacional;01 Andalucía;18 Granada;18111 Jun;Viviendas totales;1.624
Total Nacional;01 Andalucía;18 Granada;18115 Láchar;Viviendas totales;1.945
Total Nacional;01 Andalucía;18 Granada;18116 Lanjarón;Viviendas totales;2.765
Total Nacional;01 Andalucía;18 Granada;18119 Lecrín;Viviendas totales;1.755
Total Nacional;01 Andalucía;18 Granada;18122 Loja;Viviendas totales;11.951
Total Nacional;01 Andalucía;18 Granada;18126 Malahá, La;Viviendas totales;1.045
Total Nacional;01 Andalucía;18 Granada;18127 Maracena;Viviendas totales;9.972
Total Nacional;01 Andalucía;18 Granada;18132 Moclín;Viviendas totales;2.745
Total Nacional;01 Andalucía;18 Granada;18133 Molvízar;Viviendas totales;1.748
Total Nacional;01 Andalucía;18 Granada;18134 Monachil;Viviendas totales;7.905
Total Nacional;01 Andalucía;18 Granada;18135 Montefrío;Viviendas totales;4.072
Total Nacional;01 Andalucía;18 Granada;18136 Montejícar;Viviendas totales;1.458
Total Nacional;01 Andalucía;18 Granada;18137 Montillana;Viviendas totales;871
Total Nacional;01 Andalucía;18 Granada;18138 Moraleda de Zafayona;Viviendas totales;1.830
Total Nacional;01 Andalucía;18 Granada;18140 Motril;Viviendas totales;32.841
Total Nacional;01 Andalucía;18 Granada;18143 Nigüelas;Viviendas totales;883
Total Nacional;01 Andalucía;18 Granada;18144 Nívar;Viviendas totales;603
Total Nacional;01 Andalucía;18 Granada;18145 Ogíjares;Viviendas totales;6.632
Total Nacional;01 Andalucía;18 Granada;18146 Orce;Viviendas totales;1.226
Total Nacional;01 Andalucía;18 Granada;18147 Órgiva;Viviendas totales;3.738
Total Nacional;01 Andalucía;18 Granada;18148 Otívar;Viviendas totales;752
Total Nacional;01 Andalucía;18 Granada;18149 Villa de Otura;Viviendas totales;3.536
Total Nacional;01 Andalucía;18 Granada;18150 Padul;Viviendas totales;5.517
Total Nacional;01 Andalucía;18 Granada;18152 Pedro Martínez;Viviendas totales;944
Total Nacional;01 Andalucía;18 Granada;18153 Peligros;Viviendas totales;5.013
Total Nacional;01 Andalucía;18 Granada;18154 Peza, La;Viviendas totales;1.038
Total Nacional;01 Andalucía;18 Granada;18157 Pinos Genil;Viviendas totales;911
Total Nacional;01 Andalucía;18 Granada;18158 Pinos Puente;Viviendas totales;5.769
Total Nacional;01 Andalucía;18 Granada;18159 Píñar;Viviendas totales;822
Total Nacional;01 Andalucía;18 Granada;18162 Polopos;Viviendas totales;1.519
Total Nacional;01 Andalucía;18 Granada;18164 Puebla de Don Fadrique;Viviendas totales;1.916
Total Nacional;01 Andalucía;18 Granada;18165 Pulianas;Viviendas totales;2.381
Total Nacional;01 Andalucía;18 Granada;18167 Purullena;Viviendas totales;1.368
Total Nacional;01 Andalucía;18 Granada;18171 Salar;Viviendas totales;1.692
Total Nacional;01 Andalucía;18 Granada;18173 Salobreña;Viviendas totales;11.610
Total Nacional;01 Andalucía;18 Granada;18175 Santa Fe;Viviendas totales;7.685
Total Nacional;01 Andalucía;18 Granada;18182 Ugíjar;Viviendas totales;1.854
Total Nacional;01 Andalucía;18 Granada;18184 Vélez de Benaudalla;Viviendas totales;2.469
Total Nacional;01 Andalucía;18 Granada;18188 Villanueva Mesía;Viviendas totales;1.092
Total Nacional;01 Andalucía;18 Granada;18189 Víznar;Viviendas totales;582
Total Nacional;01 Andalucía;18 Granada;18192 Zafarraya;Viviendas totales;1.282
Total Nacional;01 Andalucía;18 Granada;18193 Zubia, La;Viviendas totales;9.556
Total Nacional;01 Andalucía;18 Granada;18194 Zújar;Viviendas totales;1.762
Total Nacional;01 Andalucía;18 Granada;18903 Nevada;Viviendas totales;1.229
Total Nacional;01 Andalucía;18 Granada;18905 Gabias, Las;Viviendas totales;11.502
Total Nacional;01 Andalucía;18 Granada;18906 Guájares, Los;Viviendas totales;1.197
Total Nacional;01 Andalucía;18 Granada;18907 Valle del Zalabí;Viviendas totales;1.550
Total Nacional;01 Andalucía;18 Granada;18911 Vegas del Genil;Viviendas totales;4.962
Total Nacional;01 Andalucía;18 Granada;18912 Cuevas del Campo;Viviendas totales;1.344
Total Nacional;01 Andalucía;18 Granada;18914 Valderrubio;Viviendas totales;1.102
Total Nacional;01 Andalucía;18 Granada;18916 Torrenueva Costa;Viviendas totales;5.613
Total Nacional;01 Andalucía;18 Granada;18999 Resto de Granada;Viviendas totales;39.875
Total Nacional;01 Andalucía;21 Huelva;;Viviendas totales;320.045
Total Nacional;01 Andalucía;21 Huelva;21002 Aljaraque;Viviendas totales;8.574
Total Nacional;01 Andalucía;21 Huelva;21004 Almonaster la Real;Viviendas totales;1.768
Total Nacional;01 Andalucía;21 Huelva;21005 Almonte;Viviendas totales;22.043
Total Nacional;01 Andalucía;21 Huelva;21006 Alosno;Viviendas totales;2.596
Total Nacional;01 Andalucía;21 Huelva;21007 Aracena;Viviendas totales;5.080
Total Nacional;01 Andalucía;21 Huelva;21008 Aroche;Viviendas totales;2.208
Total Nacional;01 Andalucía;21 Huelva;21010 Ayamonte;Viviendas totales;17.738
Total Nacional;01 Andalucía;21 Huelva;21011 Beas;Viviendas totales;3.283
Total Nacional;01 Andalucía;21 Huelva;21013 Bollullos Par del Condado;Viviendas totales;6.399
Total Nacional;01 Andalucía;21 Huelva;21014 Bonares;Viviendas totales;2.641
Total Nacional;01 Andalucía;21 Huelva;21016 Cala;Viviendas totales;935
Total Nacional;01 Andalucía;21 Huelva;21017 Calañas;Viviendas totales;1.991
Total Nacional;01 Andalucía;21 Huelva;21018 Campillo, El;Viviendas totales;1.316
Total Nacional;01 Andalucía;21 Huelva;21021 Cartaya;Viviendas totales;13.641
Total Nacional;01 Andalucía;21 Huelva;21023 Cerro de Andévalo, El;Viviendas totales;1.784
Total Nacional;01 Andalucía;21 Huelva;21025 Cortegana;Viviendas totales;3.199
Total Nacional;01 Andalucía;21 Huelva;21029 Cumbres Mayores;Viviendas totales;1.338
Total Nacional;01 Andalucía;21 Huelva;21030 Chucena;Viviendas totales;990
Total Nacional;01 Andalucía;21 Huelva;21031 Encinasola;Viviendas totales;1.354
Total Nacional;01 Andalucía;21 Huelva;21032 Escacena del Campo;Viviendas totales;1.089
Total Nacional;01 Andalucía;21 Huelva;21034 Galaroza;Viviendas totales;1.198
Total Nacional;01 Andalucía;21 Huelva;21035 Gibraleón;Viviendas totales;6.673
Total Nacional;01 Andalucía;21 Huelva;21038 Higuera de la Sierra;Viviendas totales;1.137
Total Nacional;01 Andalucía;21 Huelva;21040 Hinojos;Viviendas totales;2.254
Total Nacional;01 Andalucía;21 Huelva;21041 Huelva;Viviendas totales;68.714
Total Nacional;01 Andalucía;21 Huelva;21042 Isla Cristina;Viviendas totales;18.623
