CUSEC,CUMUN,CSEC,CDIS,CMUN,CPRO,CCA,CUDIS,CLAU2,NPRO,NCA,CNUT0,CNUT1,CNUT2,CNUT3,NMUN,airbnb_listings,airbnb_entire_homes,airbnb_price_median,airbnb_accommodates_total,airbnb_revenue_total,airbnb_hosts_unicos,airbnb_con_licencia,isla,fuente,granularidad,hut_registros,hut_plazas,hut_habitaciones,viviendas_vacias_pct_ccaa,viviendas_uso_esporadico_pct_ccaa,viviendas_turisticas_pct_ccaa_2025M05,plazas_turisticas
0701502001,07015,001,02,015,07,04,0701502,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,3,1,231.0,12,39776,3,3,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,12
0701502003,07015,003,02,015,07,04,0701502,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,2,2,283.855,12,34731,2,2,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,12
0701502004,07015,004,02,015,07,04,0701502,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,0,0,,0,0,0,0,Mallorca,shapefile INE 2025 (sin datos de turismo),seccion_censal,0,0,0,16.2,6.9,3.74,0
0701503001,07015,001,03,015,07,04,0701503,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,20,8,209.25,82,337595,11,20,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,82
0701503002,07015,002,03,015,07,04,0701503,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,11,8,544.755,64,163233,9,11,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,64
0701503003,07015,003,03,015,07,04,0701503,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,0,0,,0,0,0,0,Mallorca,shapefile INE 2025 (sin datos de turismo),seccion_censal,0,0,0,16.2,6.9,3.74,0
0701504001,07015,001,04,015,07,04,0701504,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,8,7,447.33,40,138140,7,7,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,40
0701504002,07015,002,04,015,07,04,0701504,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,147,147,307.0,751,2087887,97,141,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,751
0701504003,07015,003,04,015,07,04,0701504,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,6,3,237.69,21,59313,4,6,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,21
0701504004,07015,004,04,015,07,04,0701504,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,565,563,292.87,2726,6412009,259,536,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,2726
