CDIS,consumo_p10_kwh,consumo_p25_kwh,consumo_p50_kwh,consumo_p75_kwh,consumo_p90_kwh,ratio_p10_p50,ratio_p25_p50,ratio_p90_p50,rango_p10_p90,gap_bajo_consumo_pct,airbnb_listings,airbnb_entire_homes,CMUN,NMUN,viviendas_totales,airbnb_per_1000_viv
0704402,904.0,1825.0,3337.0,5086.0,6773.0,0.2709020077914294,0.5468984117470782,2.0296673658975126,5869.0,72.90979922085705,45.0,45.0,07044,"Pobla, Sa",6504,6.918819188191882
0704403,1026.0,1981.0,3457.0,5255.0,7108.0,0.2967891235175007,0.5730402082730691,2.0561180214058434,6082.0,70.32108764824994,46.0,46.0,07044,"Pobla, Sa",6504,7.072570725707257
0704404,1048.0,2045.0,3428.0,5202.0,7289.0,0.3057176196032672,0.5965577596266044,2.1263127187864646,6241.0,69.42823803967329,137.0,137.0,07044,"Pobla, Sa",6504,21.063960639606396
0704501,111.0,2184.0,3615.0,5634.0,8236.0,0.030705394190871368,0.604149377593361,2.2782849239280774,8125.0,96.92946058091286,39.0,33.0,07045,Puigpunyent,1275,30.58823529411765
0704901,706.0,1691.0,3186.0,5142.0,7625.0,0.22159447583176398,0.5307595731324545,2.393283113622097,6919.0,77.8405524168236,10.0,10.0,07049,Sant Joan,1724,5.800464037122969
0704902,741.0,1634.0,2938.0,4686.0,6997.0,0.252212389380531,0.5561606535057863,2.381552076242342,6256.0,74.7787610619469,30.0,30.0,07049,Sant Joan,1724,17.40139211136891
0705001,704.0,178.0,379.0,7108.0,11306.0,1.8575197889182058,0.46965699208443273,29.8311345646438,10602.0,-85.75197889182058,0.0,0.0,07050,Sant Joan de Labritja,4366,0.0
0705101,848.0,1858.0,3488.0,5602.0,7938.0,0.24311926605504589,0.5326834862385321,2.275802752293578,7090.0,75.68807339449542,117.0,104.0,07051,Sant Llorenç des Cardassar,6529,17.920049012099863
0705102,525.0,1098.0,2538.0,4264.0,6367.0,0.20685579196217493,0.4326241134751773,2.508668242710796,5842.0,79.3144208037825,165.0,161.0,07051,Sant Llorenç des Cardassar,6529,25.271863991422883
0705301,987.0,1981.0,3485.0,5432.0,7858.0,0.2832137733142037,0.5684361549497848,2.25480631276901,6871.0,71.67862266857964,11.0,11.0,07053,Santa Eugènia,1098,10.018214936247723
0705401,843.0,1849.0,3275.0,5177.0,8093.0,0.25740458015267176,0.5645801526717558,2.471145038167939,7250.0,74.25954198473282,0.0,0.0,07054,Santa Eulària des Riu,22810,0.0
0705402,644.0,139.0,2883.0,5187.0,8679.0,0.22337842525147417,0.04821366631980576,3.010405827263267,8035.0,77.66215747485259,0.0,0.0,07054,Santa Eulària des Riu,22810,0.0
0705403,1006.0,2625.0,4826.0,8112.0,12171.0,0.20845420638209697,0.5439287194363862,2.521964359718193,11165.0,79.1545793617903,0.0,0.0,07054,Santa Eulària des Riu,22810,0.0
0705404,1081.0,2137.0,3598.0,5984.0,946.0,0.30044469149527514,0.593941078376876,0.26292384658143414,-135.0,69.95553085047248,0.0,0.0,07054,Santa Eulària des Riu,22810,0.0
0705405,119.0,222.0,3533.0,535.0,7924.0,0.033682422870082086,0.06283611661477498,2.242853099348995,7805.0,96.6317577129918,0.0,0.0,07054,Santa Eulària des Riu,22810,0.0
0705501,756.0,1653.0,3008.0,4898.0,6812.0,0.25132978723404253,0.5495345744680851,2.264627659574468,6056.0,74.86702127659575,54.0,47.0,07055,Santa Margalida,8414,6.417874970287616
0705502,593.0,1146.0,246.0,4239.0,6256.0,2.410569105691057,4.658536585365853,25.43089430894309,5663.0,-141.0569105691057,594.0,585.0,07055,Santa Margalida,8414,70.59662467316377
0705601,1172.0,2157.0,361.0,5177.0,6814.0,3.2465373961218837,5.975069252077562,18.87534626038781,5642.0,-224.65373961218836,21.0,15.0,07056,Santa María del Camí,3644,5.762897914379802
0705602,1132.0,2242.0,3541.0,5195.0,7381.0,0.31968370516803163,0.6331544761366845,2.0844394238915562,6249.0,68.03162948319684,27.0,21.0,07056,Santa María del Camí,3644,7.4094401756311745
0705801,886.0,2108.0,3787.0,5545.0,7829.0,0.23395827832057037,0.5566411407446528,2.0673356218642724,6943.0,76.60417216794296,199.0,185.0,07058,Selva,2990,66.5551839464883
0705802,1057.0,2071.0,3344.0,4986.0,7207.0,0.3160885167464115,0.6193181818181818,2.1552033492822966,6150.0,68.39114832535886,61.0,47.0,07058,Selva,2990,20.401337792642142
0705901,497.0,819.0,1722.0,3719.0,628.0,0.2886178861788618,0.47560975609756095,0.36469221835075494,131.0,71.13821138211382,241.0,233.0,07059,"Salines, Ses",4922,48.9638358390898
0706001,996.0,1855.0,3116.0,4988.0,74.0,0.3196405648267009,0.5953145057766367,0.02374839537869063,-922.0,68.03594351732991,44.0,40.0,07060,Sineu,2727,16.134946828016137
0706002,950.0,1885.0,3191.0,4919.0,6645.0,0.2977123158884362,0.5907239109996866,2.082419304293325,5695.0,70.22876841115637,41.0,41.0,07060,Sineu,2727,15.034836817015035
0706101,1041.0,1957.0,3405.0,5065.0,7255.0,0.30572687224669604,0.5747430249632893,2.130690161527166,6214.0,69.42731277533039,61.0,53.0,07061,Sóller,8124,7.508616445100936
0706102,893.0,1937.0,3454.0,533.0,7608.0,0.25854082223508973,0.560799073537927,2.202663578459757,6715.0,74.14591777649102,149.0,124.0,07061,Sóller,8124,18.340718857705564
0706103,648.0,1346.0,2643.0,4654.0,7615.0,0.24517593643586832,0.5092697692016648,2.8811956110480517,6967.0,75.48240635641316,231.0,227.0,07061,Sóller,8124,28.43426883308715
0706301,819.0,1838.0,3435.0,5546.0,8355.0,0.23842794759825328,0.535080058224163,2.432314410480349,7536.0,76.15720524017468,103.0,94.0,07063,Valldemossa,1483,69.45380984490897
0706401,748.0,1573.0,2866.0,4401.0,6385.0,0.26099092812281927,0.5488485694347522,2.2278436845778087,5637.0,73.90090718771806,47.0,32.0,07064,"Castell, Es",4426,10.619069136918212
0706501,961.0,1919.0,3382.0,5086.0,6873.0,0.28415138971023063,0.5674157303370787,2.0322294500295683,5912.0,71.58486102897695,7.0,7.0,07065,Vilafranca de Bonany,1707,4.100761570005858
0706502,1119.0,1995.0,3599.0,5348.0,7429.0,0.31091969991664353,0.5543206446235065,2.0641844956932482,6310.0,68.90803000833566,33.0,33.0,07065,Vilafranca de Bonany,1707,19.332161687170473
0790201,535.0,1197.0,2796.0,4526.0,6523.0,0.1913447782546495,0.4281115879828326,2.332975679542203,5988.0,80.86552217453506,45.0,41.0,07902,"Migjorn Gran, Es",1180,38.13559322033898
